Outdated Term,Exuberant Synonyms
"""Use""","Factor, avail, levy, employ, utilize, facetize, mechanize, dynamicize"
"""Manager""","Utilizer, handler, facilitator"
"""Voltage""",Volt power
"""User""","Interactor, distinguisher"
"""Agent""","System, facet"
"""Bold""",Daring
"""Shrinkage""",Reduction
"""Pilferage""",Larceny
"""Foliage""",Verdant greenery
“Make sure”,Ensure
“Old”,"Previous, prior"
“Manageable”,"Graspable, maintainable, handleable"
“Manage”,Facilitate
“Effort(s)”,Exertion(s)
“Will”,Shall